,close,SMA 7,SMA 25,SMA 99,EMA 7,EMA 25,EMA 99,bband upper,bband middle,bband lower,ADX 14,K,D,J,MOM 7,MOM 25,MOM 99,WMA 7,WMA 25,WMA 99,RSI 6,RSI 12,RSI 24,STCK 10,STCD 7
531,"[29133.464,29202.323]","[29210.071,29276.33]","[29290.063,29353.83]","[29141.761,29199.794]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29213.864,29279.593]","[29101.709,29165.681]","[33.176,34.384]","[21.191,22.96]","[22.346,23.963]","[18.091,20.86]",-132.1999999999971,-134.86999999999898,161.52000000000044,29233.54892857164,29296.55840000021,29250.743012121104,27.79006441171174,33.90389980279381,42.82944192432576,11.45723070719434,21.716854395347923
532,"[29202.323,29271.182]","[29210.071,29276.33]","[29290.063,29353.83]","[29141.761,29199.794]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29213.864,29279.593]","[29101.709,29165.681]","[33.176,34.384]","[22.96,24.729]","[22.346,23.963]","[23.628,26.397]",-119.93000000000029,-127.04999999999927,199.04000000000087,29222.72964285735,29288.52747692329,29251.400222222113,36.740050144202755,38.59534857682079,45.00699155109073,27.530857043519216,20.68684704650552
533,"[29202.323,29271.182]","[29210.071,29276.33]","[29290.063,29353.83]","[29141.761,29199.794]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29213.864,29279.593]","[29101.709,29165.681]","[33.176,34.384]","[24.729,26.498]","[22.346,23.963]","[26.397,29.166]",-110.619999999999,-134.70999999999913,197.95999999999916,29216.108571428773,29280.861323077137,29252.010422222113,36.66522654084681,38.554387522487616,44.982461420139074,27.333835544996802,21.46507505153487
534,"[29133.464,29202.323]","[29143.812,29210.071]","[29290.063,29353.83]","[29141.761,29199.794]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29213.864,29279.593]","[29101.709,29165.681]","[33.176,34.384]","[17.653,19.422]","[20.729,22.346]","[9.784,12.553]",-125.81000000000131,-202.260000000002,172.9300000000003,29203.30321428592,29270.49120000022,29251.76983030292,28.39191123189752,33.87765162730812,42.125815352518025,3.841919221186121,20.51440780594342
535,"[29202.323,29271.182]","[29210.071,29276.33]","[29290.063,29353.83]","[29141.761,29199.794]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29213.864,29279.593]","[29101.709,29165.681]","[34.384,35.591]","[19.422,21.191]","[20.729,22.346]","[18.091,20.86]",28.110000000000586,-151.90999999999985,198.79999999999927,29203.211071428774,29263.272646154062,29252.151903030197,41.28613454590087,40.286475916639894,45.07766144913354,23.04461942257327,23.054026014158147
536,"[29202.323,29271.182]","[29143.812,29210.071]","[29226.295,29290.063]","[29141.761,29199.794]","[29148.749,29214.447]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29213.864,29279.593]","[29101.709,29165.681]","[33.176,34.384]","[24.729,26.498]","[22.346,23.963]","[29.166,31.935]",-23.04999999999927,-169.84000000000015,190.36999999999898,29204.030000000206,29257.110738461764,29252.647014141297,44.100122092436955,41.72203152810592,45.75030730945075,29.892268694550708,22.68939720877832
537,"[29133.464,29202.323]","[29143.812,29210.071]","[29226.295,29290.063]","[29141.761,29199.794]","[29148.749,29214.447]","[29232.388,29294.909]","[29178.839,29236.786]","[29192.753,29262.3]","[29148.135,29213.864]","[29101.709,29165.681]","[33.176,34.384]","[28.266,30.035]","[23.963,25.58]","[37.473,40.242]",-38.66999999999826,-186.88999999999942,193.4700000000012,29202.584642857342,29250.521415384843,29252.856666666547,40.35790052527162,40.02943469318858,44.82668238400979,26.289165722916692,21.34141376527681
538,"[29202.323,29271.182]","[29143.812,29210.071]","[29226.295,29290.063]","[29141.761,29199.794]","[29148.749,29214.447]","[29232.388,29294.909]","[29178.839,29236.786]","[29192.753,29262.3]","[29148.135,29213.864]","[29165.681,29229.653]","[31.969,33.176]","[44.187,45.956]","[30.432,32.049]","[70.701,73.47]",34.43999999999869,-117.04999999999927,219.9700000000012,29208.107857143066,29246.226369230997,29253.47423434331,49.63857485272706,44.476410274759694,46.85285096731017,66.60461653015727,29.2196117399858
539,"[29202.323,29271.182]","[29143.812,29210.071]","[29226.295,29290.063]","[29141.761,29199.794]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29192.753,29262.3]","[29148.135,29213.864]","[29165.681,29229.653]","[31.969,33.176]","[51.263,53.031]","[36.9,38.517]","[76.239,79.008]",1.9599999999991269,-106.02000000000044,210.36999999999898,29210.476071428773,29241.699169230997,29253.89336363624,46.63828232090477,43.270485739848574,46.24235468751503,64.56704528691529,34.51049577475667
540,"[29202.323,29271.182]","[29210.071,29276.33]","[29226.295,29290.063]","[29199.794,29257.827]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29192.753,29262.3]","[29148.135,29213.864]","[29165.681,29229.653]","[29.555,30.762]","[67.183,68.952]","[48.219,49.836]","[106.697,109.466]",52.29999999999927,-66.9900000000016,266.72000000000116,29225.274285714488,29241.344338461764,29255.269993939277,63.72375901238474,52.4108974534465,50.60354894665101,100.0,44.8913764111857
